#SDSS SN Id	Type	IAUC Name	Right Ascension(hh:mm:ss)	Declination(dd:mm:ss) 	Redshift	Peak MJD	#Obs	Spectrum?
SN2017  SNIa  2005fo  21:55:46.40  +0:35:36.7  0.2630  53633.0  6  YES 
SN2030  SNIa  2005fl  20:47:21.98  -1:15:11.8  0.2360  53611.8  5  YES 
SN2031  SNIa  2005fm  20:48:10.37  -1:10:17.1  0.1330  53634.9  11  YES 
SN2053  SNIc  2005fk  21:15:19.84  -0:22:58.6  0.2400  53630.0  3  YES 
SN2057  SNIa?(LC)  ---  21:21:35.94  -0:19:1.1  0.2120  53631.1  6  YES 
SN2081  SNIa?(LC)  ---  22:29:13.24  -1:12:28.1  0.2521  53625.4  5  YES 
SN2102  SNIa  2005fn  20:48:53.03  +0:11:28.1  0.0950  53620.0  16  YES 
SN2116  SNIa?(LC)  ---  21:39:34.74  +0:3:16.7  0.3110  53615.0  2  YES 
SN2162  SNIa?(LC)  ---  1:1:46.20  -0:8:0.9  0.1730  53625.6  7  YES 
SN2165  SNIa  2005fr  1:8:22.02  -0:5:46.5  0.2850  53629.8  8  YES 
SN2246  SNIa  2005fy  3:20:21.70  -0:53:8.1  0.1950  53625.9  8  YES 
SN2308  SNIa  2005ey  2:17:5.49  +0:16:49.1  0.1300  53627.8  24  YES 
SN2309  SNIa?(LC)  ---  2:31:55.59  +0:17:46.1  0.1148  53610.0  25  YES 
SN2330  SNIa  2005fp  0:27:13.71  +1:7:14.2  0.2100  53632.8  5  YES 
SN2331  SNIa?(LC)  ---  1:6:34.21  +1:5:14.5  0.2630  53621.8  7  NO 
SN2366  SNII  2005fq  0:53:44.04  -0:33:36.8  0.1470  53627.0  14  YES 
SN2372  SNIa  2005ft  2:42:4.97  -0:32:27.1  0.1600  53635.7  17  YES 
SN2766  SNIa?(LC)  ---  3:30:50.67  -0:37:7.8  0.1500  53616.8  7  NO 
SN2422  SNIa  2005fi  0:7:58.69  +0:38:17.5  0.2650  53637.2  12  YES 
SN2440  SNIa  2005fu  2:50:32.10  +0:48:28.1  0.2000  53632.3  15  YES 
SN2532  SNIa?(LC)  ---  1:50:59.40  -0:14:3.0  0.2700  53633.1  4  YES 
SN2533  SNIa  2005fs  2:4:52.97  -0:19:35.3  0.3300  53634.9  7  YES 
SN2561  SNIa  2005fv  3:5:22.42  +0:51:30.1  0.1180  53637.9  19  YES 
SN2629  SNIa?(LC)  ---  1:45:13.37  -1:9:44.6  0.2232  53613.8  3  YES 
SN2632  SNIa?(LC)  ---  3:2:21.65  -1:13:33.7  0.2960  53630.0  6  YES 
SN2635  SNIa  2005fw  3:30:49.03  -1:14:17.1  0.1550  53638.7  22  YES 
SN2639  SNIa?(LC)  ---  22:1:51.39  +0:39:52.5  0.2150  53638.8  12  YES 
SN2661  SNII  ---  23:32:49.80  +0:5:50.0  0.1930  53632.5  4  YES 
SN2689  SNIa  2005fa  1:39:36.07  -0:45:31.4  0.1620  53634.8  12  YES 
SN2734  SNIa?(LC)  ---  3:12:49.67  -0:41:41.3  0.3033  53637.7  18  YES 
SN2744  SNIb  2005hm  21:39:0.64  -1:1:38.6  0.0340  53645.0  20  YES 
SN4048  SNIa?(LC)  ---  0:23:39.65  +0:47:0.4  0.3192  53648.6  4  YES 
SN2789  SNIa  2005fx  22:56:48.35  +0:24:4.0  0.2900  53631.8  4  YES 
SN2806  SNIa?(LC)  ---  3:1:4.06  +0:16:25.4  0.2590  53624.2  5  YES 
SN2808  SNIa?(LC)  ---  3:25:50.27  +0:17:32.0  0.3144  53624.3  8  YES 
SN2864  SNIa?(LC)  ---  23:57:48.23  -1:14:22.4  0.2450  53640.0  9  YES 
SN2916  SNIa  2005fz  21:3:41.21  +0:34:10.4  0.1240  53642.0  9  YES 
