#SDSS SN Id	Type	IAUC Name	Right Ascension(hh:mm:ss)	Declination(dd:mm:ss) 	Redshift	Peak MJD	#Obs	Spectrum?
SN9051  SNIa?(LC)  ---  0:12:34.89  -0:34:22.9  0.1740  53647.8  14  NO 
SN8921  SNIa  2005ld  21:40:0.48  -0:0:28.5  0.1450  53692.6  7  YES 
SN9032  SNIa  2005le  22:31:32.30  -0:29:36.9  0.2540  53687.0  6  YES 
SN9045  SNIa  2005kq  23:11:20.91  -0:36:31.1  0.3910  53680.7  4  YES 
SN9118  SNIc  2005kr  3:8:29.66  +0:53:20.2  0.1340  53691.0  9  YES 
SN9155  SNIa?(LC)  ---  21:49:25.07  -0:47:4.9  0.3049  53685.9  4  YES 
SN9207  SNIa  2005lg  1:16:20.07  -0:48:28.1  0.3510  53684.0  4  YES 
SN9266  SNIa?(LC)  ---  3:20:43.14  -1:0:7.0  0.0360  53687.0  11  NO 
SN9273  SNIc  2005ks  21:37:56.56  -0:1:56.9  0.0990  53688.0  6  YES 
SN9326  SNIa?(LC)  ---  22:57:15.90  +0:37:42.4  0.2926  53685.9  6  YES 
SN9457  SNIa  2005li  22:23:15.45  +0:15:10.9  0.2580  53686.6  4  YES 
SN9467  SNIa  2005lh  21:55:48.33  +1:10:50.9  0.2190  53686.0  3  YES 
SN9594  SNIa?(LC)  ---  1:10:51.43  +0:7:18.0  0.2980  53684.1  4  YES 
SN9739  SNIa?(LC)  ---  21:34:46.53  -0:52:43.8  0.1202  53688.0  3  NO 
SN9740  SNIa?(LC)  ---  21:35:35.29  -1:1:42.8  0.2385  53687.9  4  YES 
SN9817  SNIa?(LC)  ---  0:20:9.11  +0:35:53.5  0.2540  53691.0  5  YES 
SN9954  SNIa?(LC)  ---  0:26:20.18  -0:25:31.5  0.2290  53691.8  13  YES 
SN10028  SNIa  2005kt  1:10:58.05  +0:16:34.5  0.0650  53654.0  13  YES 
SN10096  SNIa  2005lj  1:57:43.03  -0:10:46.0  0.0780  53696.0  6  YES 
SN10106  SNIa?(SP)  ---  3:10:46.38  -0:12:17.6  0.1480  53692.0  12  YES 
SN10297  SNII  2005mk  22:42:40.64  +0:49:58.8  0.1480  53686.0  9  YES 
SN10367  SNII  2005kb  0:50:50.68  +0:51:13.0  0.0150  53684.0  23  YES 
SN10434  SNIa  2005lk  21:59:49.42  -1:11:37.4  0.1040  53696.0  5  YES 
SN10449  SNIa  2005ll  22:28:6.87  -1:7:41.4  0.2420  53696.0  3  YES 
SN10550  SNIa  2005lf  23:18:42.10  -1:12:17.6  0.3000  53687.0  4  YES 
SN11172  SNIa?(LC)  ---  21:29:39.05  -0:12:8.1  0.1360  53693.1  3  NO 
SN10907  SNII  2005lm  0:15:4.91  +0:21:18.5  0.0850  53692.7  5  YES 
SN10928  SNIa?(LC)  ---  0:26:42.53  -0:48:14.0  0.0820  53693.0  4  YES 
SN11120  SNIa?(LC)  ---  21:41:49.62  +0:22:13.3  0.1070  53697.0  4  NO 
SN11102  SNIa?(LC)  ---  21:0:38.12  -0:59:55.8  0.1540  53699.8  6  NO 
SN11097  SNIa?(LC)  ---  20:33:56.14  +0:45:8.6  0.1970  53699.8  11  YES 
SN11017  ---  2005mj  21:31:49.44  -1:4:9.8  0.2100  53699.8  3  YES 
SN11320  SNIa  2005mo  3:50:12.90  -0:14:24.8  0.2750  53693.1  11  YES 
SN11206  SNIa  2005mm  0:13:9.55  +1:8:43.9  0.3840  53688.7  5  YES 
SN11067  SNIa  2005ml  2:14:4.41  -0:14:21.0  0.1160  53700.8  4  YES 
SN11300  SNIa  2005ln  0:27:0.12  -0:35:11.8  0.1370  53699.7  4  YES 
SN11332  SNIb  2005mn  3:49:18.44  -0:41:31.4  0.0470  53705.0  4  YES 
SN11296  SNIa?(LC)  ---  1:22:4.58  +0:18:38.9  0.1760  53704.9  3  NO 
SN11294  SNIa?(LC)  ---  1:21:11.16  +0:22:25.0  0.1170  53701.7  3  NO 
SN11311  SNIa?(LC)  ---  3:8:3.66  +0:26:0.7  0.2050  53690.1  4  NO 
SN11360  SNIa?(LC)  ---  21:16:6.58  +0:55:41.6  0.1369  53703.7  4  YES 
SN11404  SNIa?(LC)  ---  1:47:42.26  +0:52:1.2  0.1950  53697.2  3  NO 
SN11452  SNIa  2005lo  0:37:11.86  -1:12:12.3  0.3000  53690.5  3  YES 
SN11543  SNIa?(LC)  ---  21:19:53.80  +0:11:43.7  0.1338  53696.7  3  YES 
SN11557  SNIa  2005lq  2:41:36.04  +0:12:18.1  0.3700  53705.1  6  YES 
SN11650  SNIa  2005mp  1:4:45.68  +0:3:20.2  0.2700  53707.2  3  YES 
SN11697  SNIa?(LC)  ---  0:0:32.42  -0:33:20.5  0.2477  53706.0  3  NO 
SN11864  SNIa  2005lp  1:47:42.80  +0:12:26.0  0.3000  53690.5  6  YES 
SN12136  SNIa  2005mq  23:20:21.79  -0:20:59.6  0.3500  53706.9  3  YES 
SN12778  SNIa  2006fs  21:9:59.00  +0:24:31.7  0.0990  53963.0  14  YES 
SN12779  SNIa  2006fd  20:37:53.25  +1:13:16.0  0.0800  53962.0  14  YES 
SN12780  ---  2006eq  21:28:37.12  +1:13:41.2  0.0500  53962.0  17  YES 
SN12781  SNIa  2006er  0:21:37.58  -1:0:35.9  0.0840  53979.0  12  YES 
SN12782  SNII  2006fq  0:20:0.81  -0:37:29.9  0.0680  53977.0  46  YES 
SN12804  SNIa?(LC)  ---  1:12:48.40  +1:2:24.7  0.1339  53979.8  12  YES 
SN12820  SNII  2006fg  0:38:20.05  -0:17:42.0  0.0450  53978.0  26  YES 
SN12825  SNIa?(LC)  ---  23:58:10.48  -1:10:55.7  0.1500  53953.5  12  NO 
SN12841  SNIa  2006gk  21:25:23.34  -1:2:1.2  0.2930  53967.5  8  YES 
SN12842  SNII  2006ez  21:33:49.26  -1:0:57.4  0.0880  53974.0  24  YES 
SN12843  SNIa  2006fa  21:35:30.74  -0:58:49.0  0.1670  53980.9  9  YES 
SN12851  SNIa  2006gm  22:59:7.46  -0:37:38.5  0.2500  53967.8  12  YES 
SN12852  SNIa?(LC)  ---  20:57:0.74  +0:41:21.0  0.2640  53983.0  5  YES 
SN12853  SNIa  2006ey  21:7:3.74  +0:43:23.1  0.1680  53977.8  9  YES 
SN12855  SNIa  2006fk  22:1:1.33  +0:42:58.5  0.1650  53994.0  9  YES 
SN12856  SNIa  2006fl  22:11:27.71  +0:45:21.5  0.1720  53993.2  16  YES 
SN12860  SNIa  2006fc  21:34:46.61  +1:10:33.3  0.1180  53989.8  12  YES 
SN12869  SNIa  2006ge  21:49:35.79  +0:0:3.9  0.2790  53973.1  8  YES 
SN12874  SNIa  2006fb  23:35:51.51  -0:10:37.6  0.2450  53980.0  10  YES 
SN12881  SNIa  2006gu  0:40:38.96  -0:4:24.8  0.2380  53975.8  12  YES 
SN12883  SNIa?(SP)  2006fr  20:50:30.21  +0:23:55.2  0.3060  53972.9  5  YES 
SN12897  SNIa  2006eb  1:13:41.13  -0:6:5.7  0.0170  53964.9  24  YES 
SN12898  SNIa  2006fw  1:47:10.34  -0:8:49.1  0.0830  54002.0  22  YES 
SN12903  SNIa?(LC)  ---  21:50:35.88  +0:23:6.7  0.0530  53971.0  23  YES 
SN12907  SNIa?(SP)  2006fv  1:21:37.88  +0:24:52.3  0.1320  53992.9  21  YES 
SN12917  SNIa?(LC)  ---  1:8:5.48  +1:12:7.5  0.2030  53979.9  6  NO 
SN12923  SNIa?(LC)  ---  0:39:57.91  +0:38:24.2  0.1130  53955.0  5  NO 
SN12927  SNIa  2006fj  2:47:8.67  +0:46:30.5  0.1900  53982.4  12  YES 
SN12928  SNIa  2006ew  20:20:2.17  -0:58:32.5  0.1400  53970.9  8  YES 
SN12930  SNIa  2006ex  20:38:43.87  -0:28:28.3  0.1470  53977.6  13  YES 
SN12947  SNIa?(LC)  ---  20:21:19.74  -0:35:48.1  0.1300  53991.1  10  YES 
SN12950  SNIa  2006fy  23:26:40.19  -0:50:25.0  0.0830  53999.0  40  YES 
SN12969  SNIa?(LC)  ---  20:41:3.72  +0:19:54.6  0.1658  53953.7  8  YES 
SN12971  SNIa  2006ff  0:26:35.64  -0:18:7.5  0.2350  53973.1  11  YES 
SN12972  SNIa  2006ft  0:31:50.06  -0:22:58.6  0.2610  53978.4  8  YES 
SN12977  SNIa  2006gh  0:54:46.95  -0:15:3.1  0.2470  53985.8  7  YES 
SN12979  SNIa  2006gf  0:46:24.35  +0:0:12.5  0.1160  53970.0  7  YES 
SN12983  SNIa  2006gl  1:5:50.11  +0:8:41.3  0.2650  53970.4  4  YES 
SN12991  SNII  2006gd  1:10:26.39  -1:4:4.9  0.1550  53975.0  21  YES 
SN13005  SNIa  2006fh  1:49:34.91  -0:38:59.6  0.1250  53960.8  12  YES 
SN13007  SNIa?(LC)  ---  0:19:21.27  +0:36:8.7  0.1050  53955.0  13  NO 
SN13025  SNIa  2006fx  22:46:16.16  +0:24:57.2  0.2240  53985.1  17  YES 
SN13035  SNIa?(LC)  ---  22:30:26.87  +0:58:11.4  0.1305  53979.0  6  NO 
SN13038  SNIa  2006gn  23:11:18.43  +0:30:16.6  0.1010  53989.0  20  YES 
SN13044  SNIa  2006fm  22:10:10.26  +0:30:11.8  0.1250  54001.8  15  YES 
SN13045  SNIa  2006fn  23:0:5.99  +0:32:15.6  0.1800  53987.7  20  YES 
SN13068  SNIa?(LC)  ---  23:1:20.06  -0:39:11.2  0.0753  53955.0  36  NO 
SN13070  SNIa  2006fu  23:51:8.41  -0:44:46.8  0.1990  53984.4  11  YES 
SN13072  SNIa  2006fi  22:19:50.27  +0:1:27.7  0.2310  53987.3  8  YES 
SN13099  SNIa  2006gb  23:59:16.50  -1:15:1.4  0.2660  53993.5  7  YES 
SN13135  SNIa  2006fz  0:16:41.35  -0:25:28.3  0.1050  54003.0  38  YES 
SN13136  SNIa  2006go  0:24:33.76  -0:16:44.6  0.3720  53989.1  8  YES 
SN13152  SNIa  2006gg  0:28:12.51  +0:7:4.8  0.2030  53997.8  17  YES 
SN13174  SNIa  2006ga  0:52:56.33  +0:26:52.3  0.2360  53997.3  9  YES 
SN13180  SNIa?(LC)  ---  23:41:35.72  +0:50:49.0  0.2510  53977.9  5  YES 
SN13195  SNIc  2006fo  2:32:38.89  +0:37:3.0  0.0210  54005.0  25  YES 
SN13224  SNIa?(LC)  ---  3:9:58.79  -0:14:44.8  0.2360  53981.9  6  YES 
SN13254  SNIa  2006gx  2:48:14.08  -0:20:49.3  0.1810  53990.4  10  YES 
SN16953  SNIa  2006pp  0:48:58.47  +0:28:37.0  0.3390  54059.0  3  YES 
SN13376  SNII  2006gq  1:45:12.54  +0:21:23.2  0.0700  53998.0  22  YES 
SN13305  SNIa  2006he  22:4:24.12  +0:41:28.4  0.2140  54000.9  14  YES 
SN13323  SNIa?(LC)  ---  21:32:12.31  -0:8:4.7  0.2323  53995.7  8  YES 
SN13327  SNIa  2006jf  22:34:54.57  +0:0:7.3  0.2820  53994.0  6  YES 
SN14782  SNIa  2006jp  20:56:56.22  -0:16:44.6  0.1600  54020.8  18  YES 
SN13354  SNIa  2006hr  1:50:15.56  -0:53:14.2  0.1580  54004.8  18  YES 
SN13355  SNII  2006kh  1:49:11.84  -0:36:18.9  0.0600  53989.0  22  YES 
SN13357  SNIa?(SP)  2006gw  1:57:53.50  -0:32:3.0  0.3260  53994.1  23  YES 
SN13370  SNIa  2006gv  1:48:36.37  +0:19:41.6  0.1990  53988.5  7  YES 
SN13411  SNIa?(LC)  ---  21:0:45.59  +0:11:30.0  0.1630  53985.6  13  YES 
SN13425  SNIa  2006gp  22:34:10.00  +0:3:18.0  0.2130  53988.8  5  YES 
SN13440  SNIa?(LC)  ---  22:36:47.29  -0:46:9.7  0.2970  53993.5  11  YES 
SN13449  SNII  2006ix  23:59:14.03  -0:18:39.7  0.0760  53994.0  22  YES 
SN13458  SNIa?(LC)  ---  1:5:51.20  -0:15:1.7  0.3191  53995.9  4  NO 
SN13467  SNIa?(SP)  2006hq  23:39:47.15  +0:12:18.8  0.0690  54013.0  38  YES 
SN13506  SNIa  2006hg  1:40:58.40  -0:43:40.2  0.2430  53997.0  8  YES 
SN13511  SNIa  2006hh  2:42:26.96  -0:47:38.8  0.2380  54000.6  10  YES 
SN13518  ---  2006mn  1:7:48.39  -0:6:35.4  ---  54000.6  7  --- 
SN13578  SNIa  2006hc  1:9:34.73  +0:42:15.0  0.2000  53996.3  10  YES} 
SN13610  SNIa  2006hd  21:44:3.55  +0:43:34.6  0.2980  53990.0  9  YES 
SN13633  SNIa?(LC)  ---  0:18:39.76  +0:0:21.5  0.3878  53993.0  5  YES 
SN13641  SNIa  2006hf  23:0:52.50  -0:58:52.1  0.2200  54001.1  28  YES 
SN13655  SNIa  2006hs  2:36:4.85  -0:59:39.0  0.2640  53991.5  7  YES 
SN14157  SNIa?(SP)  2006kj  3:24:32.81  +1:1:20.5  0.2140  54010.3  14  YES 
SN13677  SNIa?(LC)  ---  21:40:5.02  -1:1:14.6  0.3045  53994.4  6  YES 
SN13689  SNIa?(LC)  ---  0:16:3.87  +0:48:27.2  0.2500  53997.3  13  YES 
SN13703  SNIa?(LC)  ---  2:36:3.30  +1:15:12.4  0.2400  54005.0  12  YES 
SN13727  SNIa  2006hj  21:10:21.14  +0:55:57.4  0.2260  54001.9  10  YES 
SN13736  SNIa  2006hv  22:27:19.99  +1:1:51.5  0.1500  54013.7  18  YES 
SN13757  SNIa  2006hk  23:20:29.54  -1:9:28.2  0.2850  53989.4  7  YES 
SN13796  SNIa  2006hl  23:22:45.98  +0:31:58.4  0.1480  54008.8  16  YES 
SN13830  SNIa  2006hm  23:26:14.81  -0:22:56.2  0.3310  53977.4  6  YES 
SN13835  SNIa  2006hp  0:24:14.31  -0:14:53.7  0.2470  54008.4  10  YES 
SN13840  SNIa?(LC)  ---  20:54:49.55  +0:7:30.5  0.2427  54005.9  10  YES 
SN13864  SNIa?(LC)  ---  23:14:17.79  +0:11:27.8  0.3020  54003.0  11  YES 
SN13894  SNIa  2006jh  0:6:45.75  -0:2:12.3  0.1300  54012.8  18  YES 
SN13905  SNIa?(LC)  ---  0:45:39.80  +0:20:54.0  0.1160  54000.5  7  YES 
SN13907  SNIa?(LC)  ---  0:56:43.06  +0:13:56.2  0.1978  54004.8  10  YES 
SN13908  SNIa?(LC)  ---  1:3:39.85  +0:17:42.6  0.2395  54000.1  8  YES 
SN13934  SNIa  2006jg  22:48:26.64  -0:26:7.0  0.3300  54003.2  5  YES 
SN13956  SNIa  2006hi  1:23:46.03  +0:49:0.2  0.2600  54001.0  5  YES 
SN14019  SNIa  2006ki  21:6:34.18  -0:38:52.6  0.2160  54010.5  11  YES 
SN14024  SNIa  2006ht  21:12:47.66  +0:54:58.9  0.2000  54008.9  11  YES 
SN14108  SNIa  2006hu  3:34:22.72  -1:7:23.6  0.1400  54009.9  16  YES 
SN14153  SNIa?(LC)  ---  3:17:21.53  +0:4:40.0  0.1810  53986.9  3  NO 
SN14186  SNIa?(LC)  ---  22:31:24.14  +0:59:32.2  0.1412  54010.8  9  YES 
SN14212  SNIa  2006iy  22:1:52.83  +1:2:42.0  0.2030  54010.3  17  YES 
SN14261  SNIa  2006jk  21:52:57.70  +0:15:13.7  0.2860  54016.1  12  YES 
SN14269  SNIa?(LC)  ---  3:39:2.14  +0:16:45.4  0.2810  53991.5  8  NO 
SN14279  SNIa  2006hx  1:13:57.31  +0:22:18.0  0.0450  54022.0  19  YES 
SN14284  SNIa  2006ib  3:16:11.83  -0:36:3.4  0.1810  54012.7  15  YES 
SN14298  SNIa  2006jj  20:59:34.81  +1:13:23.7  0.2680  54008.7  8  YES 
SN14299  SNIa?(LC)  ---  20:54:17.09  -0:55:48.6  0.2100  54014.9  4  YES 
SN14317  SNIa?(LC)  ---  21:2:16.96  +0:19:48.9  0.1810  54015.6  10  YES 
SN14318  SNIa  2006py  22:41:42.05  -0:8:12.9  0.0580  54019.0  14  YES 
SN14331  SNIa  2006kl  0:31:33.28  -0:8:8.9  0.2210  54010.3  11  YES 
SN14333  SNIa?(LC)  ---  1:5:8.48  -0:0:45.5  0.2710  54011.5  8  YES 
SN14340  SNIa?(LC)  ---  23:3:18.40  -0:51:19.1  0.2774  54004.8  4  NO 
SN14375  SNIa?(LC)  ---  2:31:30.47  -0:34:23.6  0.3210  54006.9  9  YES 
SN14377  SNIa  2006hw  3:13:3.43  -0:28:17.9  0.1390  54012.8  16  YES 
SN14389  SNIa?(LC)  ---  1:48:9.27  +0:17:45.9  0.2310  54001.6  4  YES 
SN14397  SNIa  2006kk  0:27:39.86  +0:38:58.2  0.3860  54011.4  4  YES 
SN14421  SNIa  2006ia  2:7:19.17  +1:15:7.5  0.1750  54008.8  11  YES 
SN14437  SNIa  2006hy  22:8:19.43  -1:11:47.0  0.1430  54008.7  15  YES 
SN14445  SNIa?(LC)  ---  22:43:51.04  -0:45:14.2  0.2380  54005.3  6  YES 
SN14450  SNII  2006kn  20:58:5.21  +0:54:1.7  0.1200  54015.9  16  YES 
SN14451  SNIa  2006ji  20:32:46.79  +0:55:37.4  0.1810  54009.7  10  YES 
SN14456  SNIa  2006jm  22:54:12.26  +1:3:2.4  0.3300  54014.9  11  YES 
SN14481  SNIa  2006lj  0:10:43.62  +0:12:4.7  0.2430  54017.7  7  YES 
SN14492  SNIb  2006jo  1:23:14.71  -0:19:46.7  0.0770  54013.0  12  YES 
SN14525  SNIa?(LC)  ---  1:7:31.87  +0:28:38.0  0.1544  54014.6  10  YES 
SN14545  SNIa?(LC)  ---  23:26:59.57  +1:1:2.0  0.2780  54013.0  9  YES 
SN14589  SNIa?(LC)  ---  3:12:2.92  -0:40:39.0  0.2700  54007.8  4  YES 
SN14593  SNIa?(LC)  ---  3:39:51.30  -0:46:39.8  0.3080  54005.4  5  YES 
SN14599  SNII  2006jl  20:32:4.67  -0:34:28.3  0.0500  54012.0  18  YES 
SN14654  SNIa?(LC)  ---  23:17:25.83  -0:50:47.9  0.3820  54008.1  5  YES 
SN14735  SNIa  2006km  2:20:37.93  +0:20:54.2  0.3010  54011.2  9  YES 
SN14784  SNIa?(LC)  ---  21:35:11.62  -0:20:53.6  0.1920  54013.6  11  YES 
SN14815  SNIa  2006iz  21:16:17.19  +0:33:34.2  0.1360  54023.4  21  YES 
SN14816  SNIa  2006ja  22:26:51.91  +0:30:21.8  0.1070  54020.0  13  YES 
SN14846  SNIa  2006jn  0:30:39.18  +0:8:29.7  0.2300  54022.3  11  YES 
SN14871  SNIa  2006jq  3:37:6.50  +0:0:33.7  0.1100  54026.8  23  YES 
SN14961  SNIa?(LC)  ---  1:3:40.68  +0:55:51.7  0.3705  54012.8  3  NO 
SN14979  SNIa  2006jr  3:39:47.14  +0:59:34.1  0.1800  54023.6  18  YES 
SN14984  SNIa  2006js  20:55:20.06  -0:5:34.0  0.1900  54021.4  11  YES 
SN15002  SNIa?(SP)  2006ko  1:28:59.95  +0:46:11.8  0.3800  54019.1  20  YES 
SN15009  SNIa?(SP)  2006kp  2:11:11.65  +0:41:45.0  0.2950  54014.0  3  YES 
SN15031  SNII  2006iw  23:21:19.48  +0:15:35.0  0.0310  54018.0  16  YES 
SN15033  SNIa?(LC)  ---  1:3:6.83  -0:9:24.0  0.2200  54017.1  6  YES 
SN15057  ---  2006md  1:11:31.50  +0:24:34.2  ---  54017.1  5  --- 
SN15171  SNIa  2006kb  20:19:10.21  -1:3:52.2  0.1200  54027.8  16  YES 
SN15129  SNIa  2006kq  21:15:36.57  -0:19:17.2  0.1980  54020.4  11  YES 
SN15132  SNIa  2006jt  21:58:48.06  +0:11:51.7  0.1400  54025.7  16  YES 
SN15136  SNIa?(SP)  2006ju  23:24:39.01  -0:43:6.1  0.1490  54021.9  12  YES 
SN16894  SNIa  2006tb  3:45:15.49  -0:7:42.8  0.2970  54061.0  3  YES 
SN15320  SNII  2006kv  0:3:6.66  +0:54:49.6  0.0560  54024.0  15  YES 
SN16899  SNIa  2006ta  3:29:50.42  +0:17:42.3  0.2870  54066.1  3  YES 
SN15161  SNIa?(SP)  2006jw  2:23:22.30  +0:49:8.4  0.2500  54024.0  9  YES 
SN15170  SNIa  2006jx  3:52:14.06  +0:17:31.4  0.4100  54022.1  8  YES 
SN15201  SNIa  2006ks  22:30:4.66  +0:0:13.1  0.2080  54025.5  10  YES 
SN15203  SNIa  2006jy  1:2:56.33  +0:10:59.1  0.2000  54023.8  14  YES 
SN15213  SNIa  2006lk  3:32:4.59  -0:6:0.5  0.3110  54022.9  8  YES 
SN15217  SNIa  2006jv  1:30:32.21  +0:13:11.3  0.3710  54017.1  6  YES 
SN15219  SNIa  2006ka  2:18:26.67  +0:13:36.1  0.2470  54027.4  11  YES 
SN15222  SNIa  2006jz  0:11:24.81  +0:42:9.9  0.1990  54028.7  12  YES 
SN15229  SNIa  2006kr  0:19:19.68  +1:5:26.6  0.2240  54031.3  12  YES 
SN15233  SNIa?(LC)  ---  1:10:30.79  +1:2:47.9  0.3174  54017.5  5  YES 
SN15234  SNIa  2006kd  1:7:50.00  +0:49:41.5  0.1300  54030.8  14  YES 
SN15254  SNIa  2006oy  20:53:58.30  -0:21:36.2  0.2010  54031.8  13  YES 
SN15259  SNIa  2006kc  22:30:10.61  -0:24:28.1  0.2200  54022.1  10  YES 
SN15286  ---  ---  20:13:33.99  -1:7:8.9  ---  54022.1  9  --- 
SN15287  SNIa  2006kt  21:35:50.32  -1:3:26.8  0.2350  54026.3  9  YES 
SN15301  SNIa  2006lo  21:34:19.18  +0:35:20.8  0.1830  54032.7  13  YES 
SN15303  SNIa?(LC)  ---  23:22:2.13  +0:32:27.8  0.2343  54029.9  8  NO 
SN15325  SNIa?(LC)  ---  2:9:11.59  -0:44:32.3  0.2144  54024.5  8  YES 
SN15339  SNII  2006ns  21:33:32.22  +0:47:5.4  0.1200  54033.9  15  YES 
SN15340  SNIa?(SP)  2006mu  22:24:0.68  +0:49:16.9  0.1410  54033.7  12  YES 
SN15343  SNIa?(LC)  ---  21:34:41.38  +0:41:5.7  0.1740  54020.8  6  YES 
SN15345  SNIa?(LC)  ---  22:21:1.64  +0:48:38.2  0.2802  54022.7  6  YES 
SN15353  SNIa?(LC)  ---  23:21:9.99  -0:10:32.8  0.3135  54022.0  8  YES 
SN15354  SNIa  2006lp  0:27:5.68  -0:7:33.5  0.2220  54020.9  7  YES 
SN15356  SNIa  2006lm  22:20:12.80  +0:24:35.8  0.2750  54027.1  8  YES 
SN15365  SNIa  2006ku  23:38:13.60  +1:14:56.7  0.1890  54035.6  13  YES 
SN15369  SNIa  2006ln  23:15:19.91  -0:33:45.4  0.2400  54029.0  14  YES 
SN15381  SNIa?(LC)  ---  20:28:18.32  +0:29:36.4  0.1631  54017.8  9  YES 
SN15383  SNIa  2006lq  2:16:35.89  -0:9:18.6  0.3160  54025.9  7  YES 
SN15421  SNIa  2006kw  2:14:57.98  +0:36:9.0  0.1850  54032.6  15  YES 
SN15425  SNIa  2006kx  3:42:14.66  +0:28:41.8  0.1600  54036.8  16  YES 
SN15433  SNIa  2006mt  0:59:31.11  -0:15:23.4  0.2200  54035.3  12  YES 
SN15440  SNIa  2006lr  2:38:52.96  +0:5:24.5  0.2610  54027.0  8  YES 
SN15443  SNIa  2006lb  3:19:28.18  -0:19:4.9  0.1820  54038.4  17  YES 
SN15453  SNIa  2006ky  21:18:40.39  -1:1:27.4  0.1800  54035.4  13  YES 
SN15454  SNIa?(LC)  ---  21:51:26.28  -0:50:52.9  0.3830  54019.1  4  NO 
SN15456  SNIa  2006ll  22:7:28.14  -0:54:12.3  0.3820  54025.1  3  YES 
SN15459  SNIa  2006la  22:42:48.34  -0:54:6.3  0.1250  54033.9  15  YES 
SN15461  SNIa  2006kz  21:47:23.40  -0:29:40.8  0.1770  54034.7  12  YES 
SN15466  SNIa  2006mz  21:10:34.81  -0:7:23.6  0.2460  54034.0  10  YES 
SN15467  SNIa?(LC)  ---  21:20:4.78  -0:10:38.8  0.2100  54036.5  12  YES 
SN15475  SNIc  2006lc  22:44:24.48  -0:9:53.5  0.0160  54041.0  13  YES 
SN15500  SNIa?(LC)  ---  1:51:59.91  +0:18:7.8  0.2400  54031.5  10  YES 
SN15504  SNIa  2006oc  23:2:48.35  -0:52:35.1  0.2700  54036.1  9  YES 
SN15508  SNIa  2006ls  1:48:40.55  -0:34:35.8  0.1400  54040.7  13  YES 
SN15557  SNIb  2006oz  22:8:53.55  +0:53:50.5  ---  11  ---  --- 
SN15583  SNIa  2006mv  2:30:55.46  +0:56:46.7  0.1740  54038.7  14  YES 
SN15584  SNIa  2006nt  2:53:58.91  +0:59:13.1  0.2830  54036.1  9  YES 
SN15587  SNIa?(LC)  ---  3:37:40.14  +0:59:54.1  0.2190  54040.6  15  NO 
SN15648  SNIa  2006ni  20:54:52.41  -0:11:41.4  0.1750  54041.9  9  YES 
SN15674  SNIa  2006nu  22:43:19.00  +0:15:46.5  0.1980  54037.5  10  YES 
SN15675  SNIa?(LC)  ---  22:52:41.69  +0:21:51.1  0.2348  54035.5  8  YES 
SN15734  SNIa  2006ng  0:22:7.27  -0:5:44.3  0.3980  54036.1  5  YES 
SN15776  SNIa  2006na  2:11:19.07  -0:59:53.7  0.3170  54028.9  5  YES 
SN15704  SNIa  2006nh  2:40:50.58  +0:39:31.5  0.3650  54040.5  7  YES 
SN15722  SNIa?(LC)  ---  3:41:24.12  +1:11:40.5  0.1900  54016.7  21  YES 
SN15748  SNIa?(LC)  ---  3:12:27.47  -0:7:50.3  0.1560  54040.0  12  YES 
SN15749  SNIa?(SP)  2006mw  3:25:8.47  -0:2:26.1  0.1180  54042.6  11  YES 
SN15755  SNIa?(LC)  ---  23:53:36.78  +0:13:34.8  0.2810  54031.9  9  YES 
SN15756  SNIa  2006nf  0:1:29.96  +0:16:33.5  0.3880  54036.1  2  YES 
SN15760  ---  2006mh  1:15:13.40  +0:23:57.3  ---  54036.1  3  --- 
SN15765  SNIa?(LC)  ---  2:11:23.32  +0:14:46.0  0.3050  54038.2  7  NO 
SN15784  SNIa?(LC)  ---  23:46:41.69  -0:36:55.3  0.2783  54037.0  7  YES 
SN15802  SNIa?(LC)  ---  1:59:0.79  -1:4:45.6  0.3417  54020.2  3  YES 
SN15806  SNIa?(LC)  ---  1:36:22.15  -0:49:50.2  0.2524  54029.5  6  YES 
SN15823  SNIa?(LC)  ---  20:57:0.64  +0:11:56.7  0.2150  54043.3  15  YES 
SN15833  SNIa?(SP)  2006mx  20:3:27.33  +0:34:12.7  0.1290  54043.5  13  YES 
SN15865  SNIa?(LC)  ---  3:48:16.10  +0:29:55.6  0.3300  54042.2  7  YES 
SN15866  SNIa?(LC)  ---  22:35:7.38  +0:58:3.3  0.1890  54039.0  10  YES 
SN15868  SNIa?(SP)  2006pa  2:32:23.95  -0:42:48.9  0.2510  54042.3  11  YES 
SN15872  SNIa  2006nb  2:26:53.40  -0:19:40.1  0.2100  54045.3  12  YES 
SN15892  SNIa?(LC)  ---  21:32:47.78  +0:41:22.1  0.1850  54040.0  10  YES 
SN15897  SNIa  2006pb  0:46:43.55  -1:1:58.5  0.1740  54041.0  10  YES 
SN15901  SNIa  2006od  2:7:54.31  -0:32:7.4  0.1710  54043.8  10  YES 
SN15909  SNIa?(LC)  ---  0:45:15.59  +0:47:48.4  0.2180  54039.7  6  YES 
SN15929  SNIa?(LC)  ---  22:58:22.15  -0:15:9.2  0.2035  54044.5  6  YES 
SN16000  SNIa  2006nj  1:24:28.23  +0:4:27.8  0.3990  54039.0  6  YES 
SN16021  SNIa  2006nc  0:55:22.50  -0:23:19.7  0.1240  54047.9  11  YES 
SN16032  SNIa  2006nk  2:56:16.61  -0:24:38.8  0.1950  54044.7  14  YES 
