# SDSS data for the field of GRB050509B, imaged on Dec 15, 2004.  
# Compiled on May 11, 2005.
#
# 1-2) ra, dec [J2000]
# 3-7) u,g,r,i,z PSF magnitudes
# 8-12) Errors on PSF magnitudes
# 9-13) Summary of flags in u,g,r,i,z (==0 for good, ==1 for bad)
#	This is a summary of the flags in each band, closely following the
#	prescription on http://www.sdss.org/dr3/products/catalogs/flags.html.
#	If the summary flag is 1, one should be cautious about using the
#	photometry in that band.
#
# Full documentation can be found at http://www.sdss.org/dr3
#
189.19667 28.93262 24.894 21.897 20.413 19.205 18.444 0.990 0.082 0.034 0.026 0.032 0 0 0 0 0
189.19852 28.92756 22.818 20.857 19.536 18.396 17.699 0.383 0.038 0.025 0.023 0.023 0 0 0 0 0
188.88312 29.10145 16.264 14.614 14.109 13.977 13.915 0.066 0.021 0.014 0.016 0.033 0 0 0 0 0
188.89809 29.07515 19.366 18.415 18.094 17.960 17.925 0.070 0.022 0.015 0.017 0.038 0 0 0 0 0
188.89621 28.96097 16.688 14.976 14.460 14.254 14.238 0.066 0.021 0.014 0.016 0.033 0 1 0 0 0
188.90482 28.95414 19.345 18.013 17.569 17.385 17.380 0.070 0.022 0.014 0.016 0.035 0 0 0 0 0
188.92015 28.95079 18.741 16.389 15.432 15.052 14.910 0.068 0.021 0.014 0.016 0.034 0 0 0 1 0
188.94092 29.08500 18.313 16.294 15.542 15.219 15.048 0.067 0.021 0.014 0.016 0.034 0 0 0 0 0
188.96059 29.09959 18.948 17.478 16.892 16.696 16.622 0.069 0.022 0.014 0.016 0.034 0 0 0 0 0
188.97182 29.08542 19.493 18.360 18.424 18.572 18.664 0.071 0.022 0.015 0.018 0.046 0 0 0 0 0
188.98502 28.98701 18.650 17.336 16.886 16.729 16.715 0.068 0.021 0.014 0.016 0.034 0 0 0 0 0
188.98564 29.00197 19.521 18.411 17.997 17.854 17.813 0.072 0.022 0.015 0.017 0.037 0 0 0 0 0
189.00902 29.08771 19.587 18.532 18.174 18.047 17.997 0.072 0.022 0.015 0.017 0.038 0 0 0 0 0
188.87167 28.99550 20.620 19.615 19.346 19.216 19.189 0.090 0.025 0.018 0.021 0.058 0 0 0 0 0
188.87364 28.91594 22.466 20.037 18.832 18.265 17.993 0.289 0.028 0.016 0.017 0.038 0 0 0 0 0
188.89766 29.06939 22.253 19.209 17.974 17.547 17.256 0.244 0.024 0.015 0.018 0.035 0 0 0 0 0
188.89502 28.92403 21.401 20.348 20.023 19.887 19.664 0.131 0.033 0.029 0.033 0.085 0 0 0 0 0
188.90578 29.05941 22.881 19.678 18.203 16.900 16.239 0.321 0.025 0.015 0.016 0.034 0 0 0 0 0
188.91867 28.91750 22.811 20.112 18.669 17.338 16.709 0.382 0.028 0.016 0.016 0.034 0 0 0 0 0
188.92664 29.08092 20.509 18.447 17.687 17.394 17.242 0.086 0.022 0.014 0.016 0.035 0 0 0 0 0
188.93311 29.08327 20.912 19.587 19.037 18.823 18.727 0.103 0.025 0.017 0.019 0.047 0 0 0 0 0
188.94632 29.05023 22.575 20.427 18.997 18.038 17.549 0.317 0.033 0.017 0.017 0.036 0 0 0 0 0
188.94345 28.89285 19.676 18.687 18.335 18.254 18.356 0.073 0.022 0.016 0.017 0.041 0 0 1 0 0
188.94608 28.89712 21.635 19.787 18.982 18.670 18.680 0.154 0.026 0.017 0.019 0.046 0 0 0 1 0
188.96042 29.02671 20.730 19.796 19.444 19.281 19.324 0.093 0.026 0.019 0.022 0.062 0 0 0 0 0
188.97586 28.95906 20.744 18.561 17.621 17.288 17.160 0.103 0.022 0.014 0.016 0.035 1 0 0 0 0
188.97382 28.89647 22.734 20.553 19.028 17.635 16.896 0.359 0.034 0.017 0.017 0.034 0 0 0 0 0
188.98058 29.02180 21.607 20.374 19.946 19.741 19.634 0.151 0.032 0.023 0.027 0.079 0 0 0 0 0
188.98303 29.08016 22.092 19.495 18.364 17.928 17.683 0.215 0.024 0.015 0.017 0.037 0 0 0 0 0
188.99611 29.07168 19.904 19.529 19.424 19.524 19.373 0.075 0.025 0.019 0.024 0.067 0 0 0 0 0
188.99055 28.92170 20.796 19.675 19.235 19.100 19.042 0.104 0.025 0.018 0.021 0.055 1 1 0 0 0
189.00664 28.97330 21.921 20.070 19.088 18.709 18.502 0.189 0.028 0.017 0.019 0.043 0 0 0 0 0
189.01990 28.97282 23.468 20.432 19.034 18.188 17.669 0.634 0.032 0.017 0.017 0.037 0 0 0 0 0
189.02956 29.03707 21.822 19.296 18.100 17.608 17.340 0.211 0.024 0.015 0.017 0.035 1 0 0 0 0
188.86319 28.96667 22.729 20.663 19.475 18.748 18.377 0.358 0.036 0.019 0.019 0.042 0 0 0 0 0
188.88568 28.96625 23.452 20.934 19.565 18.237 17.560 0.626 0.044 0.024 0.018 0.036 0 0 0 0 0
188.89160 29.00021 21.424 20.581 20.335 20.254 20.070 0.134 0.035 0.029 0.036 0.107 0 0 0 0 0
188.89278 28.91052 22.907 21.154 19.821 18.435 17.720 0.413 0.048 0.022 0.018 0.037 1 0 0 0 0
188.90056 28.94820 22.788 20.930 19.594 19.032 18.718 0.374 0.042 0.020 0.020 0.047 0 0 0 0 0
188.93437 29.08655 23.172 21.121 19.531 18.014 17.232 0.950 0.047 0.019 0.017 0.035 1 0 0 0 0
188.94035 29.09923 21.587 20.754 20.381 20.196 20.138 0.149 0.037 0.030 0.035 0.115 0 0 0 0 0
188.94510 28.95486 23.059 21.210 20.371 19.982 19.916 0.467 0.051 0.029 0.031 0.096 0 0 0 0 0
188.96445 29.07122 23.396 20.839 19.316 18.232 17.649 0.602 0.040 0.018 0.017 0.036 0 0 0 0 0
188.97139 29.00749 25.067 21.651 20.214 19.383 18.925 0.939 0.071 0.027 0.023 0.051 0 0 0 0 0
188.98312 28.91614 23.429 21.174 19.751 18.973 18.544 0.616 0.049 0.021 0.020 0.044 0 0 0 0 0
188.98853 29.01086 24.331 20.694 19.318 18.083 17.417 0.987 0.037 0.019 0.019 0.037 0 0 0 0 0
189.00734 29.01688 24.398 20.548 18.996 17.500 16.731 0.995 0.034 0.017 0.016 0.034 0 0 0 0 0
189.02773 28.98811 24.956 20.971 19.662 18.205 17.436 0.974 0.043 0.020 0.017 0.036 0 0 0 0 0
