# SDSS data for the field of GRB050509B, imaged on Dec 15, 2004.  
# Compiled on May 11, 2005.
# 
# 1-2) ra, dec in degrees [J2000].
# 3) objc_type (=3 for an extended source, =6 for a point source)
# 4-8) u,g,r,i,z model magnitude
# 9-13) the error on the 5 color magnitudes
# 14-18) u,g,r,i,z Petrosian magnitude
# 19-23) the error on the 5 Petrosian magnitudes
# 24-28) u,g,r,i,z flag summary (==0 for good, ==1 for bad)
#	This is summary of the flags in each band, closely following the
#	prescription on http://www.sdss.org/dr3/products/catalogs/flags.html.
#	If the summary flag is 1, one should be cautious about using the
#	photometry in that band.
#
# We would recommend using the model magnitudes for colors of galaxies
# fainter than r=19.  Be careful about using magnitudes whose quoted errors
# are larger than 0.2 mag; these generally are simply low signal-to-noise
# ratio detections, but sometimes indicate complications in the reductions.
# Model magnitudes should be very similar to PSF magnitudes for point
# sources.  While we generally prefer Petrosian magnitudes to model
# magnitudes for the overall flux of a galaxy, Petrosian magnitudes are
# noisier at faint flux levels.
#
# Full documentation can be found at http://www.sdss.org/dr3
#
189.09030 28.98530 3 23.657 22.181 20.273 19.387 18.935 0.828 0.145 0.033 0.025 0.057 25.087 22.447 20.273 19.316 18.796 2.593 0.403 0.080 0.058 0.120 0 0 1 0 0
189.08301 28.98646 6 24.898 22.026 20.765 20.759 20.039 0.841 0.101 0.040 0.063 0.116 24.221 22.147 20.890 20.907 20.165 1.549 0.294 0.203 0.335 0.362 0 0 0 0 0
189.08472 28.98970 3 22.911 21.748 20.272 19.885 19.450 0.667 0.137 0.045 0.052 0.122 22.786 22.233 20.402 20.169 19.735 1.368 0.449 0.114 0.155 0.342 1 0 0 0 0
189.07973 28.98776 3 22.823 22.674 20.914 19.912 19.840 0.580 0.286 0.074 0.050 0.159 23.859 22.835 20.948 19.897 19.217 3.121 0.794 0.141 0.122 0.217 0 1 0 0 0
189.08018 28.98630 3 22.424 22.265 20.460 19.645 19.492 0.553 0.270 0.067 0.053 0.160 23.358 21.999 20.795 19.951 20.047 2.293 0.385 0.121 0.131 0.488 1 0 0 0 0
189.09273 28.99169 3 22.106 21.972 20.890 20.437 20.097 0.299 0.148 0.068 0.075 0.195 21.674 21.828 20.874 20.493 20.365 0.659 0.327 0.182 0.282 0.612 1 0 0 0 0
189.09045 28.99217 3 24.251 22.197 20.795 21.164 21.240 2.915 0.360 0.127 0.296 1.058 24.790 22.383 21.378 21.576 21.375 2.819 0.382 0.211 0.420 1.068 1 0 1 0 0
189.08887 28.98520 3 25.042 22.854 22.366 21.761 21.229 1.020 0.241 0.183 0.175 0.377 24.865 22.488 22.457 21.440 21.419 2.782 0.417 0.558 0.350 1.105 0 1 0 0 0
189.07970 28.98942 3 23.761 23.822 22.183 21.444 21.764 0.895 0.583 0.170 0.149 0.616 22.643 23.777 22.307 21.322 22.216 0.890 1.267 0.466 0.314 1.867 0 0 0 0 0
189.07925 28.99053 3 23.003 23.306 21.995 21.823 23.324 0.595 0.438 0.164 0.233 0.969 22.665 23.930 22.307 21.435 24.661 0.907 1.422 0.466 0.348 0.774 1 0 0 0 1
