107-112 F5.2	mag			i_{\rm PSF}			$i$-band PSF magnitude
113-118 F5.2	mag			z_{\rm PSF}			$z$-band PSF magnitude
117-123 F4.2	mag			\sigma_u			1-$\sigma$ uncertainty in $u$-band PSF magnitude
124-128 F4.2	mag			\sigma_g			1-$\sigma$ uncertainty in $g$-band PSF magnitude
129-133 F4.2	mag			\sigma_r			1-$\sigma$ uncertainty in $r$-band PSF magnitude	
134-139 F4.2	mag			\sigma_i			1-$\sigma$ uncertainty in $i$-band PSF magnitude	
140-145 F4.2	mag			\sigma_z			1-$\sigma$ uncertainty in $z$-band PSF magnitude
-------------------------------------------------------------------------------------------------------------------------------------
Note (1): The first four digits of the target code show whether the object was targeted by the Galaxy, Low-z QSO, High-z QSO, or Serendipity FIRST algorithm (in that order). The last digit indicates whether the object belongs to the Special Southern survey.
Note (2): S_{\rm 20 cm} is the peak flux of the nearest match within 2\arcsec {} from the FIRST survey \citep{beck95}; it is listed as 0 if no match was found. RMS flux is listed as -1 if objects in not in the FIRST survey area. 
Note (3): PSF asinh magnitudes are taken from the SDSS TARGET database and corrected for Galactic extinction \citep{schl98}
-------------------------------------------------------------------------------------------------------------------------------------
   8.485171   -0.756005  0.1738  8.90  8.94  392 251 51793 10000   17.79  0.152 20.73 19.36 18.29 17.81 17.82 0.09 0.02 0.02 0.02 0.02 
   9.234606    0.711346  0.5928  8.69  8.69 1086 509 52525 00001    0.00  0.150 23.34 21.80 20.86 19.93 19.63 0.43 0.06 0.04 0.04 0.07 
  10.307309   -9.875461  0.0950  8.31  8.33  656 311 52148 10000    0.00  0.174 19.83 18.25 17.68 17.11 16.93 0.05 0.02 0.02 0.01 0.02 
  10.719015   15.546323  0.1175  8.38  8.38  419 421 51868 10000    0.00 -1.000 18.90 17.87 17.09 16.72 16.64 0.02 0.02 0.01 0.02 0.02 
  10.917150   -0.863934  0.5849  9.01  9.05 1085 135 52531 00001    0.00  0.148 22.26 21.60 20.72 20.03 19.80 0.33 0.07 0.04 0.03 0.09 
  11.053638    0.601901  0.5021  8.14  8.09  691 433 52199 00001    0.00  0.151 22.65 21.97 20.58 19.80 19.42 0.94 0.09 0.04 0.03 0.07 
  11.922771    0.691538  0.1329  8.32  8.36  394 332 51876 10010    4.09  0.150 20.43 19.26 18.38 18.00 17.80 0.06 0.02 0.01 0.02 0.02 
  12.540888   -0.650157  0.7276 10.06 10.07  692 306 52201 00001    3.90  0.147 21.01 20.55 19.94 19.89 18.90 0.14 0.03 0.03 0.04 0.05 
  12.910829    1.253053  0.3915  8.59  8.60 1084 536 52591 00001    0.00  0.127 21.70 21.29 20.52 20.08 19.79 0.18 0.04 0.04 0.04 0.09 
  13.127488   -1.263450  0.1348  8.56  8.58 1496  89 52883 00001    3.11  0.148 20.39 19.40 18.47 18.06 17.87 0.08 0.02 0.02 0.02 0.03 
